sep_bolsa_color;destino_residuos;punto_eco;tiempo_espacio;pago;orgánicos;plasticos;pilas;bombillos;tecno;insecticida;reciclables;papeles_banio;icopor;bolsa_blanca;no_separa
2;3;1;1;2;2;2;2;2;2;2;2;2;2;1;2
1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;1
2;1;2;1;1;2;2;2;2;2;2;1;1;2;2;2
2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2
2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1
1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1
1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1
2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1
2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1
1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1
2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1
2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1
1;1;1;1;3;1;1;1;1;1;2;2;2;2;2;2
1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2
1;2;1;1;1;1;1;2;2;2;2;1;1;2;2;2
1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2
2;1;1;1;2;1;1;1;2;1;1;2;2;2;2;2
2;1;2;1;1;1;1;1;1;1;2;1;2;2;2;2
2;1;1;2;1;1;2;2;2;2;2;2;2;2;1;1
1;2;1;1;3;1;1;2;2;2;2;1;2;2;2;2
2;1;2;1;1;1;1;2;2;2;2;1;1;2;2;2
1;2;1;1;1;1;1;2;2;2;2;1;1;2;2;2
1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2
1;1;2;1;2;1;2;1;1;2;1;1;2;2;2;2
1;1;1;1;1;1;2;1;2;2;2;1;1;2;2;2
1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;2
1;1;2;2;1;1;2;2;2;2;2;1;1;2;2;2
1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2
1;1;2;1;1;1;1;2;2;2;2;1;2;2;2;2
1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;2
2;1;2;1;2;1;2;2;1;1;2;2;1;2;2;2
1;1;1;1;1;1;1;2;2;2;2;1;1;2;2;2
1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2
2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2
2;2;2;1;1;1;2;1;2;2;2;1;2;2;2;2
1;1;2;1;1;1;2;1;1;2;2;1;2;2;2;2
2;1;2;2;1;2;2;1;1;2;2;1;2;2;2;2
2;1;1;1;1;2;2;1;2;1;2;1;2;2;2;2
2;1;2;1;1;2;2;1;1;2;2;1;2;2;2;2
2;1;1;1;1;2;1;1;1;2;2;1;2;1;2;2
2;1;2;1;1;2;1;2;2;2;2;1;2;2;1;2
2;1;2;1;1;2;1;2;2;2;2;1;2;2;2;2
2;1;2;1;2;2;1;1;2;1;2;2;1;2;2;2
1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2
1;1;2;1;1;2;1;2;2;2;2;1;2;2;1;2
2;1;1;1;1;2;1;1;1;1;1;1;2;1;2;2
2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2
1;1;1;1;3;2;2;2;2;1;2;1;2;2;2;2
